Category,Sub-Category,Suscriptores,Title,Description,Link,Date_raw,Date_parsed,Author
politica,Política,Política,,El representante de oposición aseguró que no implica la pérdida de su curul.,https://www.elespectador.com/politica/miguel-polo-polo-se-abre-polemica-por-renuncia-al-consejo-comunitario-que-le-dio-el-aval-a-la-camara-noticias-hoy/,08-09-2025,09-09-2025,Redacción Política
politica,Política,Política,,Vea aquí la nueva edición de este formato de El Espectador.,https://www.elespectador.com/politica/estas-son-las-movidas-del-presidente-gustavo-petro-tras-el-triunfo-de-camargo-la-mesa-redonda-noticias-hoy/,08-09-2025,09-09-2025,Redacción Política
politica,Política,Política,,"Colombia Humana, Progresistas y la Minga Indígena Social y Popular se quedarían por fuera de la fusión de la izquierda.",https://www.elespectador.com/politica/pacto-historico-de-petro-reacciono-a-ponencia-del-cne-sobre-fusion-precandidatos-exigen-garantias-noticias-hoy/,08-09-2025,09-09-2025,Redacción Política
politica,Política,Política,,"Los alcaldes de Cali y Medellín han dicho que buscan fortalecer ""las relaciones diplomáticas"" de sus ciudades.",https://www.elespectador.com/politica/armando-benedetti-denunciara-alejandro-eder-federico-gutierrez-por-viaje-a-estados-unidos-gustavo-petro-noticias-hoy/,08-09-2025,09-09-2025,Redacción Política
politica,Política,Política,,"Según el presidente Petro, siete soldados permanecen retenidos de manera ilegal en El Tambo (Cauca).",https://www.elespectador.com/politica/presidente-petro-abre-la-puerta-a-la-fumigacion-aerea-de-cultivos-de-uso-ilicito/,08-09-2025,09-09-2025,Redacción Política
politica,Política,Política,,La ponencia se votaría el jueves en la sala plena del Consejo Electoral.,https://www.elespectador.com/politica/pacto-historico-gustavo-petro-cne-condiciona-union-de-la-izquierda-y-quedaria-por-fuera-colombia-humana-progresistas-noticias-hoy/,08-09-2025,09-09-2025,Redacción Política
judicial,Judicial,Judicial,,La Fiscalía y la Procuraduría abrieron indagaciones para aclarar lo ocurrido en el hecho en el que murió un asesor de la política.,https://www.elespectador.com/judicial/abren-indagaciones-por-disparos-de-la-armada-a-lancha-de-alcaldesa-de-mosquera-narino/,08-09-2025,09-09-2025,Redacción Judicial
judicial,Judicial,Judicial,,La Superintendencia de Industria y Comercio (SIC) anunció que los contratos investigados serían de más de $86.000 millones.,https://www.elespectador.com/judicial/caso-ungrd-las-cinco-empresas-relacionadas-con-millonarios-contratos-bajo-la-lupa-de-la-sic/,08-09-2025,09-09-2025,Redacción Judicial
judicial,Judicial,Judicial,,En medio de la audiencia le fue asignada una abogada de oficio para que lo defendiera.,https://www.elespectador.com/judicial/audiencia-de-juicio-contra-camilo-romero-fue-aplazada-en-medio-de-reclamos-a-magistrados/,08-09-2025,09-09-2025,Redacción Judicial
judicial,Judicial,Judicial,,La red habría sometido a por lo menos 48 mujeres a explotación sexual y consumo forzado de drogas. ,https://www.elespectador.com/judicial/capturan-cinco-presuntos-integrantes-de-red-de-trata-que-operaba-entre-medellin-y-europa/,08-09-2025,09-09-2025,Redacción Judicial
